Current learning rate: 0.1
Epoch: [0][  0/383]	Loss 1.9858 (1.9858)	Accuracy 11.719 (11.719)
Epoch: [1][ 80/383]	Loss 1.9519 (1.9278)	Accuracy 17.969 (19.338)
Epoch: [1][ 90/383]	Loss 1.8923 (1.9265)	Accuracy 26.562 (19.514)
Epoch: [1][100/383]	Loss 1.9023 (1.9266)	Accuracy 19.531 (19.438)
Epoch: [1][110/383]	Loss 1.9006 (1.9278)	Accuracy 18.750 (19.405)
Epoch: [1][120/383]	Loss 1.9204 (1.9278)	Accuracy 14.062 (19.396)
Epoch: [1][130/383]	Loss 1.9176 (1.9266)	Accuracy 18.750 (19.442)
Epoch: [1][140/383]	Loss 1.9192 (1.9264)	Accuracy 17.188 (19.481)
Epoch: [1][150/383]	Loss 1.9617 (1.9278)	Accuracy 14.062 (19.355)
Epoch: [1][160/383]	Loss 1.9419 (1.9278)	Accuracy 17.188 (19.318)
Epoch: [1][170/383]	Loss 1.9191 (1.9282)	Accuracy 18.750 (19.298)
Epoch: [1][180/383]	Loss 1.9512 (1.9276)	Accuracy 17.969 (19.346)
Epoch: [1][190/383]	Loss 1.9418 (1.9282)	Accuracy 16.406 (19.323)
Epoch: [1][200/383]	Loss 1.8994 (1.9276)	Accuracy 24.219 (19.469)
Epoch: [1][210/383]	Loss 1.9495 (1.9276)	Accuracy 14.844 (19.424)
Epoch: [1][220/383]	Loss 1.9382 (1.9277)	Accuracy 22.656 (19.404)
Epoch: [1][230/383]	Loss 1.8820 (1.9271)	Accuracy 17.188 (19.379)
Epoch: [1][240/383]	Loss 1.9677 (1.9268)	Accuracy 14.062 (19.369)
Epoch: [1][250/383]	Loss 1.8773 (1.9262)	Accuracy 28.906 (19.500)
Epoch: [1][260/383]	Loss 1.9760 (1.9262)	Accuracy 17.188 (19.498)
Epoch: [1][270/383]	Loss 1.9213 (1.9260)	Accuracy 21.875 (19.580)
Epoch: [1][280/383]	Loss 1.9678 (1.9260)	Accuracy 14.062 (19.631)
Epoch: [1][290/383]	Loss 1.9293 (1.9259)	Accuracy 23.438 (19.684)
Epoch: [1][300/383]	Loss 1.9461 (1.9262)	Accuracy 15.625 (19.679)
Epoch: [1][310/383]	Loss 1.9256 (1.9258)	Accuracy 22.656 (19.740)
Epoch: [1][320/383]	Loss 1.9570 (1.9258)	Accuracy 16.406 (19.736)
Epoch: [1][330/383]	Loss 1.9478 (1.9257)	Accuracy 19.531 (19.720)
Epoch: [1][340/383]	Loss 1.8894 (1.9252)	Accuracy 19.531 (19.758)
Epoch: [1][350/383]	Loss 1.8909 (1.9248)	Accuracy 21.094 (19.783)
Epoch: [1][360/383]	Loss 1.9366 (1.9244)	Accuracy 22.656 (19.819)
Epoch: [1][370/383]	Loss 1.9289 (1.9244)	Accuracy 17.969 (19.847)
Epoch: [1][380/383]	Loss 1.9374 (1.9247)	Accuracy 11.719 (19.808)
Test: [  0/164]	Loss 1.8377 (1.8377)	Accuracy 40.625 (40.625)
Test: [ 10/164]	Loss 1.6582 (1.7492)	Accuracy 41.406 (47.585)
Test: [ 20/164]	Loss 1.9578 (1.7535)	Accuracy 14.844 (45.424)
Test: [ 30/164]	Loss 2.1795 (1.8060)	Accuracy  2.344 (38.962)
Test: [ 40/164]	Loss 1.9616 (1.8313)	Accuracy  9.375 (33.136)
Test: [ 50/164]	Loss 2.0296 (1.8561)	Accuracy  6.250 (29.243)
Test: [ 60/164]	Loss 1.9793 (1.8481)	Accuracy 13.281 (26.895)
Test: [ 70/164]	Loss 2.0065 (1.8440)	Accuracy 20.312 (29.390)
Test: [ 80/164]	Loss 2.1468 (1.8589)	Accuracy  0.000 (26.968)
Test: [ 90/164]	Loss 2.0560 (1.8878)	Accuracy 12.500 (24.339)
Test: [100/164]	Loss 2.2127 (1.9096)	Accuracy  6.250 (22.633)
Test: [110/164]	Loss 1.9840 (1.9129)	Accuracy 17.188 (22.494)
Test: [120/164]	Loss 2.0618 (1.9151)	Accuracy  3.906 (22.443)
Test: [130/164]	Loss 2.1221 (1.9388)	Accuracy  5.469 (20.945)
Test: [140/164]	Loss 2.0609 (1.9504)	Accuracy  5.469 (19.908)
Test: [150/164]	Loss 1.8322 (1.9496)	Accuracy  1.562 (18.719)
Test: [160/164]	Loss 2.0038 (1.9517)	Accuracy  0.000 (17.556)
 * Accuracy 17.239
Current best accuracy: 18.94506072998047
165.32763242721558
Current learning rate: 0.1
Epoch: [2][  0/383]	Loss 1.8696 (1.8696)	Accuracy 28.906 (28.906)
Epoch: [2][ 10/383]	Loss 1.9159 (1.9089)	Accuracy 19.531 (21.520)
Epoch: [2][ 20/383]	Loss 1.8686 (1.9137)	Accuracy 30.469 (21.503)
Epoch: [2][ 30/383]	Loss 1.9100 (1.9160)	Accuracy 20.312 (21.069)
Epoch: [2][ 40/383]	Loss 1.8616 (1.9148)	Accuracy 22.656 (20.827)
Epoch: [2][ 50/383]	Loss 1.9545 (1.9132)	Accuracy 19.531 (21.032)
Epoch: [2][ 60/383]	Loss 1.8953 (1.9143)	Accuracy 24.219 (20.761)
Epoch: [2][ 70/383]	Loss 1.8697 (1.9123)	Accuracy 25.000 (21.006)
Epoch: [2][ 80/383]	Loss 1.9014 (1.9089)	Accuracy 21.875 (21.219)
Epoch: [2][ 90/383]	Loss 1.9199 (1.9092)	Accuracy 21.094 (21.326)
Epoch: [2][100/383]	Loss 1.9606 (1.9093)	Accuracy 18.750 (21.210)
Epoch: [2][110/383]	Loss 1.9199 (1.9096)	Accuracy 21.094 (21.192)
Epoch: [2][120/383]	Loss 1.9388 (1.9096)	Accuracy 13.281 (21.204)
Epoch: [2][130/383]	Loss 1.9169 (1.9099)	Accuracy 17.188 (21.100)
Epoch: [2][140/383]	Loss 1.8989 (1.9097)	Accuracy 24.219 (21.138)
Epoch: [2][150/383]	Loss 1.9341 (1.9093)	Accuracy 19.531 (21.290)
Epoch: [2][160/383]	Loss 1.9305 (1.9102)	Accuracy 17.969 (21.181)
Epoch: [2][170/383]	Loss 1.9060 (1.9099)	Accuracy 23.438 (21.304)
Epoch: [2][180/383]	Loss 1.8983 (1.9097)	Accuracy 20.312 (21.379)
Epoch: [2][190/383]	Loss 1.8725 (1.9100)	Accuracy 20.312 (21.294)
Epoch: [2][200/383]	Loss 1.9165 (1.9099)	Accuracy 21.094 (21.393)
Epoch: [2][210/383]	Loss 1.8699 (1.9093)	Accuracy 28.906 (21.449)
Epoch: [2][220/383]	Loss 1.9002 (1.9089)	Accuracy 25.781 (21.500)
Epoch: [2][230/383]	Loss 1.9620 (1.9091)	Accuracy 14.062 (21.473)
Epoch: [2][240/383]	Loss 1.8928 (1.9094)	Accuracy 24.219 (21.470)
Epoch: [2][250/383]	Loss 1.9730 (1.9099)	Accuracy 18.750 (21.414)
Epoch: [2][260/383]	Loss 1.9185 (1.9102)	Accuracy 21.094 (21.321)
Epoch: [2][270/383]	Loss 1.9288 (1.9105)	Accuracy 23.438 (21.255)
Epoch: [2][280/383]	Loss 1.8967 (1.9105)	Accuracy 21.094 (21.269)
Epoch: [2][290/383]	Loss 1.9156 (1.9104)	Accuracy 21.875 (21.282)
Epoch: [2][300/383]	Loss 1.8796 (1.9096)	Accuracy 28.906 (21.413)
Epoch: [2][310/383]	Loss 1.8870 (1.9094)	Accuracy 27.344 (21.448)
Epoch: [2][320/383]	Loss 1.8846 (1.9094)	Accuracy 22.656 (21.415)
Epoch: [2][330/383]	Loss 1.9573 (1.9092)	Accuracy 15.625 (21.417)
Epoch: [2][340/383]	Loss 1.9071 (1.9090)	Accuracy 20.312 (21.440)
Epoch: [2][350/383]	Loss 1.9550 (1.9090)	Accuracy 21.094 (21.434)
Epoch: [2][360/383]	Loss 1.9147 (1.9090)	Accuracy 22.656 (21.436)
Epoch: [2][370/383]	Loss 1.9149 (1.9090)	Accuracy 19.531 (21.441)
Epoch: [2][380/383]	Loss 1.8892 (1.9090)	Accuracy 23.438 (21.407)
Test: [  0/164]	Loss 1.8573 (1.8573)	Accuracy 18.750 (18.750)
Test: [ 10/164]	Loss 1.6483 (1.7114)	Accuracy 60.938 (42.543)
Test: [ 20/164]	Loss 2.0034 (1.7205)	Accuracy 11.719 (46.354)
Test: [ 30/164]	Loss 2.1290 (1.8221)	Accuracy  0.000 (33.972)
Test: [ 40/164]	Loss 1.9909 (1.8645)	Accuracy  1.562 (27.801)
Test: [ 50/164]	Loss 2.1944 (1.9053)	Accuracy  0.000 (23.652)
Test: [ 60/164]	Loss 2.1347 (1.9014)	Accuracy  6.250 (21.183)
Test: [ 70/164]	Loss 1.8020 (1.9163)	Accuracy 27.344 (18.992)
Test: [ 80/164]	Loss 2.0882 (1.8993)	Accuracy  0.781 (20.486)
Test: [ 90/164]	Loss 1.9120 (1.9046)	Accuracy  3.125 (18.836)
Test: [100/164]	Loss 2.0585 (1.9319)	Accuracy  5.469 (17.071)
Test: [110/164]	Loss 2.1889 (1.9552)	Accuracy  0.000 (15.716)
Test: [120/164]	Loss 1.7715 (1.9546)	Accuracy 43.750 (16.096)
Test: [130/164]	Loss 1.8061 (1.9494)	Accuracy 55.469 (17.915)
Test: [140/164]	Loss 1.7330 (1.9338)	Accuracy 52.344 (20.811)
Test: [150/164]	Loss 1.7450 (1.9211)	Accuracy 11.719 (21.151)
Test: [160/164]	Loss 1.8667 (1.9166)	Accuracy 12.500 (20.453)
 * Accuracy 20.351
Current best accuracy: 20.350692749023438
176.27952361106873
Current learning rate: 0.1
Epoch: [3][  0/383]	Loss 1.9305 (1.9305)	Accuracy 19.531 (19.531)
Epoch: [3][ 10/383]	Loss 1.8843 (1.9205)	Accuracy 26.562 (21.662)
Epoch: [3][ 20/383]	Loss 1.9041 (1.9129)	Accuracy 17.188 (21.317)
Epoch: [3][ 30/383]	Loss 1.9007 (1.9066)	Accuracy 23.438 (21.875)
Epoch: [3][ 40/383]	Loss 1.9478 (1.9053)	Accuracy 16.406 (21.894)
Epoch: [3][ 50/383]	Loss 1.8903 (1.9029)	Accuracy 23.438 (21.829)
Epoch: [3][ 60/383]	Loss 1.9296 (1.9022)	Accuracy 22.656 (21.811)
Epoch: [3][ 70/383]	Loss 1.8773 (1.9033)	Accuracy 21.094 (21.633)
Epoch: [3][ 80/383]	Loss 1.9115 (1.9033)	Accuracy 17.188 (21.528)
Epoch: [3][ 90/383]	Loss 1.8830 (1.9012)	Accuracy 21.094 (21.660)
Epoch: [3][100/383]	Loss 1.8800 (1.9007)	Accuracy 26.562 (21.728)
Epoch: [3][110/383]	Loss 1.8905 (1.9006)	Accuracy 21.094 (21.755)
Epoch: [3][120/383]	Loss 1.8687 (1.9006)	Accuracy 19.531 (21.733)
Epoch: [3][130/383]	Loss 1.9163 (1.8995)	Accuracy 17.188 (21.845)
Epoch: [3][140/383]	Loss 1.9235 (1.8996)	Accuracy 19.531 (21.892)
Epoch: [3][150/383]	Loss 1.8991 (1.8995)	Accuracy 23.438 (21.808)
Epoch: [3][160/383]	Loss 1.9193 (1.9002)	Accuracy 18.750 (21.734)
Epoch: [3][170/383]	Loss 1.9436 (1.9001)	Accuracy 19.531 (21.811)
Epoch: [3][180/383]	Loss 1.9230 (1.9002)	Accuracy 19.531 (21.819)
Epoch: [3][190/383]	Loss 1.8881 (1.9006)	Accuracy 24.219 (21.773)
Epoch: [3][200/383]	Loss 1.9291 (1.9002)	Accuracy 16.406 (21.813)
Epoch: [3][210/383]	Loss 1.8241 (1.8998)	Accuracy 28.906 (21.875)
Epoch: [3][220/383]	Loss 1.9260 (1.9002)	Accuracy 18.750 (21.871)
Epoch: [3][230/383]	Loss 1.9565 (1.9005)	Accuracy 17.188 (21.939)
Epoch: [3][240/383]	Loss 1.9253 (1.9005)	Accuracy 17.969 (21.940)
Epoch: [3][250/383]	Loss 1.9185 (1.9010)	Accuracy 18.750 (21.859)
Epoch: [3][260/383]	Loss 1.8642 (1.9002)	Accuracy 26.562 (21.944)
Epoch: [3][270/383]	Loss 1.8968 (1.9001)	Accuracy 22.656 (21.930)
Epoch: [3][280/383]	Loss 1.9077 (1.9002)	Accuracy 17.188 (21.889)
Epoch: [3][290/383]	Loss 1.9496 (1.9003)	Accuracy 16.406 (21.888)
Epoch: [3][300/383]	Loss 1.8793 (1.8998)	Accuracy 20.312 (21.865)
Epoch: [3][310/383]	Loss 1.8668 (1.8992)	Accuracy 19.531 (21.867)
Epoch: [3][320/383]	Loss 1.9149 (1.8985)	Accuracy 19.531 (21.933)
Epoch: [3][330/383]	Loss 1.9370 (1.8983)	Accuracy 18.750 (22.000)
Epoch: [3][340/383]	Loss 1.8985 (1.8980)	Accuracy 27.344 (22.015)
Epoch: [3][350/383]	Loss 1.8877 (1.8979)	Accuracy 21.875 (21.991)
Epoch: [3][360/383]	Loss 1.9193 (1.8982)	Accuracy 17.188 (21.966)
Epoch: [3][370/383]	Loss 1.8941 (1.8977)	Accuracy 24.219 (22.029)
Epoch: [3][380/383]	Loss 1.8354 (1.8975)	Accuracy 25.781 (22.041)
Test: [  0/164]	Loss 1.9373 (1.9373)	Accuracy 22.656 (22.656)
Test: [ 10/164]	Loss 1.7623 (1.7976)	Accuracy 44.531 (31.250)
Test: [ 20/164]	Loss 2.2079 (1.8367)	Accuracy  3.906 (30.357)
Test: [ 30/164]	Loss 2.0879 (1.8931)	Accuracy  1.562 (22.656)
Test: [ 40/164]	Loss 1.9054 (1.8854)	Accuracy  3.906 (20.312)
Test: [ 50/164]	Loss 1.9822 (1.8902)	Accuracy  1.562 (18.107)
Test: [ 60/164]	Loss 1.8308 (1.8510)	Accuracy 21.875 (21.440)
Test: [ 70/164]	Loss 1.5917 (1.8446)	Accuracy 57.812 (23.449)
Test: [ 80/164]	Loss 1.9221 (1.8232)	Accuracy  3.125 (27.054)
Test: [ 90/164]	Loss 1.8464 (1.8229)	Accuracy 32.031 (26.065)
Test: [100/164]	Loss 2.0911 (1.8565)	Accuracy  7.812 (24.219)
Test: [110/164]	Loss 2.0434 (1.8783)	Accuracy 14.062 (23.332)
Test: [120/164]	Loss 1.8919 (1.8815)	Accuracy 22.656 (23.651)
Test: [130/164]	Loss 1.9083 (1.8912)	Accuracy 33.594 (23.414)
Test: [140/164]	Loss 1.8375 (1.8835)	Accuracy 29.688 (24.745)
Test: [150/164]	Loss 1.8272 (1.8841)	Accuracy  7.031 (23.525)
Test: [160/164]	Loss 1.9993 (1.8910)	Accuracy  6.250 (22.283)
 * Accuracy 21.914
Current best accuracy: 21.913564682006836
170.20820260047913
Current learning rate: 0.1
Epoch: [4][  0/383]	Loss 1.8872 (1.8872)	Accuracy 21.094 (21.094)
Epoch: [4][ 10/383]	Loss 1.9054 (1.8876)	Accuracy 17.969 (21.662)
Epoch: [4][ 20/383]	Loss 1.8554 (1.8709)	Accuracy 25.781 (23.363)
Epoch: [4][ 30/383]	Loss 1.9248 (1.8734)	Accuracy 18.750 (23.185)
Epoch: [4][ 40/383]	Loss 1.9180 (1.8770)	Accuracy 21.094 (23.095)
Epoch: [4][ 50/383]	Loss 1.8781 (1.8774)	Accuracy 23.438 (23.284)
Epoch: [4][ 60/383]	Loss 1.8774 (1.8746)	Accuracy 23.438 (23.706)
Epoch: [4][ 70/383]	Loss 1.9086 (1.8769)	Accuracy 20.312 (23.768)
Epoch: [4][ 80/383]	Loss 1.9074 (1.8796)	Accuracy 23.438 (23.659)
Epoch: [4][ 90/383]	Loss 1.9096 (1.8803)	Accuracy 22.656 (23.489)
Epoch: [4][100/383]	Loss 1.8700 (1.8814)	Accuracy 23.438 (23.391)
Epoch: [4][110/383]	Loss 1.9096 (1.8816)	Accuracy 21.875 (23.487)
Epoch: [4][120/383]	Loss 1.8772 (1.8828)	Accuracy 28.125 (23.470)
Epoch: [4][130/383]	Loss 1.8819 (1.8818)	Accuracy 24.219 (23.616)
Epoch: [4][140/383]	Loss 1.8841 (1.8815)	Accuracy 19.531 (23.665)
Epoch: [4][150/383]	Loss 1.8502 (1.8825)	Accuracy 27.344 (23.556)
Epoch: [4][160/383]	Loss 1.9014 (1.8826)	Accuracy 22.656 (23.632)
Epoch: [4][170/383]	Loss 1.9257 (1.8838)	Accuracy 22.656 (23.501)
Epoch: [4][180/383]	Loss 1.9153 (1.8838)	Accuracy 24.219 (23.468)
Epoch: [4][190/383]	Loss 1.9226 (1.8840)	Accuracy 20.312 (23.462)
Epoch: [4][200/383]	Loss 1.8662 (1.8843)	Accuracy 22.656 (23.430)
Epoch: [4][210/383]	Loss 1.8962 (1.8860)	Accuracy 15.625 (23.260)
Epoch: [4][220/383]	Loss 1.8377 (1.8858)	Accuracy 30.469 (23.254)
Epoch: [4][230/383]	Loss 1.8775 (1.8858)	Accuracy 24.219 (23.251)
Epoch: [4][240/383]	Loss 1.8739 (1.8860)	Accuracy 23.438 (23.214)
Epoch: [4][250/383]	Loss 1.8749 (1.8865)	Accuracy 24.219 (23.167)
Epoch: [4][260/383]	Loss 1.8688 (1.8862)	Accuracy 26.562 (23.198)
Epoch: [4][270/383]	Loss 1.8456 (1.8859)	Accuracy 27.344 (23.239)
Epoch: [4][280/383]	Loss 1.8887 (1.8865)	Accuracy 24.219 (23.187)
Epoch: [4][290/383]	Loss 1.8915 (1.8866)	Accuracy 18.750 (23.196)
Epoch: [4][300/383]	Loss 1.8930 (1.8868)	Accuracy 25.781 (23.204)
Epoch: [4][310/383]	Loss 1.9040 (1.8860)	Accuracy 26.562 (23.279)
Epoch: [4][320/383]	Loss 1.9109 (1.8857)	Accuracy 23.438 (23.311)
Epoch: [4][330/383]	Loss 1.9058 (1.8860)	Accuracy 23.438 (23.303)
Epoch: [4][340/383]	Loss 1.8564 (1.8853)	Accuracy 27.344 (23.316)
Epoch: [4][350/383]	Loss 1.8908 (1.8859)	Accuracy 23.438 (23.311)
Epoch: [4][360/383]	Loss 1.9014 (1.8864)	Accuracy 14.062 (23.219)
Epoch: [4][370/383]	Loss 1.9022 (1.8861)	Accuracy 18.750 (23.229)
Epoch: [4][380/383]	Loss 1.9042 (1.8859)	Accuracy 21.875 (23.220)
Test: [  0/164]	Loss 1.8643 (1.8643)	Accuracy 19.531 (19.531)
Test: [ 10/164]	Loss 1.8052 (1.7930)	Accuracy 32.812 (31.108)
Test: [ 20/164]	Loss 2.1120 (1.8255)	Accuracy  9.375 (29.948)
Test: [ 30/164]	Loss 2.1654 (1.8984)	Accuracy  0.000 (22.379)
Test: [ 40/164]	Loss 1.9924 (1.9046)	Accuracy  2.344 (18.540)
Test: [ 50/164]	Loss 2.0111 (1.9148)	Accuracy  8.594 (16.192)
Test: [ 60/164]	Loss 1.7680 (1.8685)	Accuracy 14.062 (19.967)
Test: [ 70/164]	Loss 1.6348 (1.8563)	Accuracy 46.094 (21.347)
Test: [ 80/164]	Loss 2.0284 (1.8420)	Accuracy  2.344 (23.746)
Test: [ 90/164]	Loss 1.8098 (1.8482)	Accuracy 21.875 (22.124)
Test: [100/164]	Loss 1.9600 (1.8650)	Accuracy 14.844 (21.481)
Test: [110/164]	Loss 1.8075 (1.8640)	Accuracy 38.281 (22.684)
Test: [120/164]	Loss 1.9114 (1.8491)	Accuracy 18.750 (24.451)
Test: [130/164]	Loss 1.8421 (1.8624)	Accuracy 25.781 (23.581)
Test: [140/164]	Loss 2.0314 (1.8605)	Accuracy 10.938 (24.280)
Test: [150/164]	Loss 2.0285 (1.8771)	Accuracy  0.000 (22.703)
Test: [160/164]	Loss 2.2586 (1.8971)	Accuracy  0.000 (21.312)
 * Accuracy 20.932
Current best accuracy: 21.913564682006836
173.81209874153137
Current learning rate: 0.1
Epoch: [5][  0/383]	Loss 1.8263 (1.8263)	Accuracy 28.906 (28.906)
Epoch: [5][ 10/383]	Loss 1.8639 (1.8678)	Accuracy 24.219 (26.065)
Epoch: [5][ 20/383]	Loss 1.8413 (1.8667)	Accuracy 26.562 (25.595)
Epoch: [5][ 30/383]	Loss 1.9162 (1.8716)	Accuracy 20.312 (24.899)
Epoch: [5][ 40/383]	Loss 1.9694 (1.8759)	Accuracy 19.531 (24.505)
Epoch: [5][ 50/383]	Loss 1.8003 (1.8764)	Accuracy 34.375 (24.357)
Epoch: [5][ 60/383]	Loss 1.8594 (1.8773)	Accuracy 23.438 (24.334)
Epoch: [5][ 70/383]	Loss 1.8205 (1.8774)	Accuracy 30.469 (24.263)
Epoch: [5][ 80/383]	Loss 1.8940 (1.8795)	Accuracy 19.531 (23.833)
Epoch: [5][ 90/383]	Loss 1.8204 (1.8789)	Accuracy 28.906 (23.764)
Epoch: [5][100/383]	Loss 1.8937 (1.8798)	Accuracy 21.875 (23.724)
Epoch: [5][110/383]	Loss 1.8486 (1.8774)	Accuracy 25.781 (24.015)
Epoch: [5][120/383]	Loss 1.8578 (1.8778)	Accuracy 23.438 (24.025)
Epoch: [5][130/383]	Loss 1.9311 (1.8782)	Accuracy 19.531 (23.938)
Epoch: [5][140/383]	Loss 1.8696 (1.8782)	Accuracy 21.875 (23.925)
Epoch: [5][150/383]	Loss 1.8731 (1.8783)	Accuracy 22.656 (23.908)
Epoch: [5][160/383]	Loss 1.9301 (1.8784)	Accuracy 22.656 (23.865)
Epoch: [5][170/383]	Loss 1.9170 (1.8789)	Accuracy 21.875 (23.798)
Epoch: [5][180/383]	Loss 1.8314 (1.8782)	Accuracy 29.688 (23.899)
Epoch: [5][190/383]	Loss 1.8382 (1.8770)	Accuracy 19.531 (23.973)
Epoch: [5][200/383]	Loss 1.8822 (1.8763)	Accuracy 20.312 (23.951)
Epoch: [5][210/383]	Loss 1.9362 (1.8754)	Accuracy 22.656 (24.045)
Epoch: [5][220/383]	Loss 1.8934 (1.8755)	Accuracy 19.531 (24.028)
Epoch: [5][230/383]	Loss 1.8653 (1.8755)	Accuracy 24.219 (24.040)
Epoch: [5][240/383]	Loss 1.9062 (1.8756)	Accuracy 25.781 (24.109)
Epoch: [5][250/383]	Loss 1.8657 (1.8758)	Accuracy 21.094 (24.079)
