Epoch: [0][ 0/96]	Loss 2.0977 (2.0977)	Accuracy 16.406 (16.406)
Epoch: [6][40/96]	Loss 1.5383 (1.5322)	Accuracy 46.875 (42.149)
Epoch: [6][50/96]	Loss 1.6328 (1.5426)	Accuracy 41.406 (41.621)
Epoch: [6][60/96]	Loss 1.4942 (1.5418)	Accuracy 47.656 (41.573)
Epoch: [6][70/96]	Loss 1.6376 (1.5443)	Accuracy 39.844 (41.340)
Epoch: [6][80/96]	Loss 1.5664 (1.5448)	Accuracy 45.312 (41.262)
Epoch: [6][90/96]	Loss 1.6764 (1.5456)	Accuracy 36.719 (41.363)
Test: [ 0/24]	Loss 2.0830 (2.0830)	Accuracy  4.688 ( 4.688)
Test: [10/24]	Loss 0.8650 (1.4601)	Accuracy 89.062 (55.256)
Test: [20/24]	Loss 1.5920 (1.4722)	Accuracy 14.844 (47.842)
 * Accuracy 43.481
Epoch: [7][ 0/96]	Loss 1.4706 (1.4706)	Accuracy 41.406 (41.406)
Epoch: [7][10/96]	Loss 1.4087 (1.5050)	Accuracy 50.781 (42.401)
Epoch: [7][20/96]	Loss 1.4833 (1.5154)	Accuracy 41.406 (42.374)
Epoch: [7][30/96]	Loss 1.4890 (1.5121)	Accuracy 45.312 (42.666)
Epoch: [7][40/96]	Loss 1.5921 (1.5282)	Accuracy 36.719 (41.940)
Epoch: [7][50/96]	Loss 1.6273 (1.5281)	Accuracy 39.062 (42.034)
Epoch: [7][60/96]	Loss 1.6635 (1.5320)	Accuracy 40.625 (42.098)
Epoch: [7][70/96]	Loss 1.5043 (1.5338)	Accuracy 44.531 (42.099)
Epoch: [7][80/96]	Loss 1.3760 (1.5298)	Accuracy 52.344 (42.544)
Epoch: [7][90/96]	Loss 1.5462 (1.5299)	Accuracy 39.062 (42.376)
Test: [ 0/24]	Loss 2.5142 (2.5142)	Accuracy  0.781 ( 0.781)
Test: [10/24]	Loss 0.6451 (1.4212)	Accuracy 92.969 (56.534)
Test: [20/24]	Loss 1.7024 (1.4857)	Accuracy 21.094 (46.391)
 * Accuracy 43.611
Epoch: [8][ 0/96]	Loss 1.4612 (1.4612)	Accuracy 42.188 (42.188)
Epoch: [8][10/96]	Loss 1.4984 (1.5040)	Accuracy 46.094 (43.324)
Epoch: [8][20/96]	Loss 1.5746 (1.5312)	Accuracy 42.969 (42.299)
Epoch: [8][30/96]	Loss 1.5282 (1.5140)	Accuracy 41.406 (43.246)
Epoch: [8][40/96]	Loss 1.4896 (1.5168)	Accuracy 43.750 (43.293)
Epoch: [8][50/96]	Loss 1.3633 (1.5087)	Accuracy 48.438 (43.597)
Epoch: [8][60/96]	Loss 1.4345 (1.5111)	Accuracy 46.094 (43.494)
Epoch: [8][70/96]	Loss 1.4526 (1.5159)	Accuracy 43.750 (43.090)
Epoch: [8][80/96]	Loss 1.4532 (1.5152)	Accuracy 42.188 (42.882)
Epoch: [8][90/96]	Loss 1.4438 (1.5131)	Accuracy 48.438 (43.012)
Test: [ 0/24]	Loss 1.7486 (1.7486)	Accuracy 21.094 (21.094)
Test: [10/24]	Loss 1.4065 (1.6508)	Accuracy 47.656 (39.631)
Test: [20/24]	Loss 1.1322 (1.5570)	Accuracy 71.875 (42.225)
 * Accuracy 45.665
Epoch: [9][ 0/96]	Loss 1.4316 (1.4316)	Accuracy 50.781 (50.781)
Epoch: [9][10/96]	Loss 1.5355 (1.4968)	Accuracy 39.844 (44.105)
Epoch: [9][20/96]	Loss 1.4973 (1.4906)	Accuracy 48.438 (45.164)
Epoch: [9][30/96]	Loss 1.6093 (1.4887)	Accuracy 39.844 (45.338)
Epoch: [9][40/96]	Loss 1.5996 (1.4975)	Accuracy 36.719 (44.284)
Epoch: [9][50/96]	Loss 1.4663 (1.4924)	Accuracy 48.438 (44.700)
Epoch: [9][60/96]	Loss 1.4366 (1.4863)	Accuracy 44.531 (44.890)
Epoch: [9][70/96]	Loss 1.5149 (1.4878)	Accuracy 41.406 (44.993)
Epoch: [9][80/96]	Loss 1.4272 (1.4841)	Accuracy 46.875 (45.062)
Epoch: [9][90/96]	Loss 1.5244 (1.4803)	Accuracy 42.188 (45.141)
Test: [ 0/24]	Loss 2.2798 (2.2798)	Accuracy  4.688 ( 4.688)
Test: [10/24]	Loss 1.0927 (1.6442)	Accuracy 62.500 (41.974)
Test: [20/24]	Loss 1.0969 (1.4703)	Accuracy 63.281 (47.210)
 * Accuracy 49.446
Epoch: [10][ 0/96]	Loss 1.5811 (1.5811)	Accuracy 39.844 (39.844)
Epoch: [10][10/96]	Loss 1.4191 (1.4313)	Accuracy 53.906 (49.503)
Epoch: [10][20/96]	Loss 1.3242 (1.4233)	Accuracy 49.219 (49.070)
Epoch: [10][30/96]	Loss 1.3896 (1.4208)	Accuracy 55.469 (48.942)
Epoch: [10][40/96]	Loss 1.4031 (1.4099)	Accuracy 50.000 (49.333)
Epoch: [10][50/96]	Loss 1.3754 (1.4202)	Accuracy 60.156 (48.637)
Epoch: [10][60/96]	Loss 1.4147 (1.4245)	Accuracy 43.750 (48.399)
Epoch: [10][70/96]	Loss 1.3022 (1.4241)	Accuracy 53.125 (48.625)
Epoch: [10][80/96]	Loss 1.4786 (1.4226)	Accuracy 46.875 (48.688)
Epoch: [10][90/96]	Loss 1.5726 (1.4214)	Accuracy 40.625 (48.498)
Test: [ 0/24]	Loss 1.6914 (1.6914)	Accuracy 37.500 (37.500)
Test: [10/24]	Loss 1.2160 (1.4996)	Accuracy 60.938 (47.585)
Test: [20/24]	Loss 1.2707 (1.4861)	Accuracy 54.688 (46.689)
 * Accuracy 47.881
Epoch: [11][ 0/96]	Loss 1.2856 (1.2856)	Accuracy 57.031 (57.031)
Epoch: [11][10/96]	Loss 1.2573 (1.3610)	Accuracy 54.688 (50.639)
Epoch: [11][20/96]	Loss 1.4053 (1.3709)	Accuracy 50.000 (50.260)
Epoch: [11][30/96]	Loss 1.4943 (1.3847)	Accuracy 48.438 (49.899)
Epoch: [11][40/96]	Loss 1.4222 (1.3838)	Accuracy 49.219 (50.076)
Epoch: [11][50/96]	Loss 1.4286 (1.3815)	Accuracy 48.438 (50.352)
Epoch: [11][60/96]	Loss 1.4290 (1.3795)	Accuracy 43.750 (50.333)
Epoch: [11][70/96]	Loss 1.5324 (1.3789)	Accuracy 42.188 (50.308)
Epoch: [11][80/96]	Loss 1.2505 (1.3726)	Accuracy 53.906 (50.415)
Epoch: [11][90/96]	Loss 1.4409 (1.3710)	Accuracy 48.438 (50.386)
Test: [ 0/24]	Loss 1.8291 (1.8291)	Accuracy 26.562 (26.562)
Test: [10/24]	Loss 1.0852 (1.3432)	Accuracy 63.281 (53.693)
Test: [20/24]	Loss 1.5760 (1.3691)	Accuracy 45.312 (51.786)
 * Accuracy 51.043
Epoch: [12][ 0/96]	Loss 1.4192 (1.4192)	Accuracy 45.312 (45.312)
Epoch: [12][10/96]	Loss 1.2068 (1.3446)	Accuracy 57.031 (51.918)
Epoch: [12][20/96]	Loss 1.3435 (1.3256)	Accuracy 55.469 (51.935)
Epoch: [12][30/96]	Loss 1.3897 (1.3363)	Accuracy 46.094 (51.134)
Epoch: [12][40/96]	Loss 1.3687 (1.3363)	Accuracy 51.562 (51.410)
Epoch: [12][50/96]	Loss 1.3368 (1.3301)	Accuracy 50.000 (51.777)
Epoch: [12][60/96]	Loss 1.2856 (1.3350)	Accuracy 53.906 (51.985)
Epoch: [12][70/96]	Loss 1.1649 (1.3255)	Accuracy 57.812 (52.047)
Epoch: [12][80/96]	Loss 1.3100 (1.3207)	Accuracy 42.969 (52.074)
Epoch: [12][90/96]	Loss 1.3361 (1.3193)	Accuracy 56.250 (52.181)
Test: [ 0/24]	Loss 1.4899 (1.4899)	Accuracy 41.406 (41.406)
Test: [10/24]	Loss 0.5725 (1.0085)	Accuracy 82.812 (66.690)
Test: [20/24]	Loss 1.4131 (1.1039)	Accuracy 45.312 (61.458)
 * Accuracy 58.507
Epoch: [13][ 0/96]	Loss 1.4474 (1.4474)	Accuracy 50.000 (50.000)
Epoch: [13][10/96]	Loss 1.1825 (1.2800)	Accuracy 60.938 (53.764)
Epoch: [13][20/96]	Loss 1.3513 (1.2895)	Accuracy 50.000 (52.567)
Epoch: [13][30/96]	Loss 1.1918 (1.2977)	Accuracy 61.719 (52.621)
Epoch: [13][40/96]	Loss 1.3973 (1.2855)	Accuracy 45.312 (53.392)
Epoch: [13][50/96]	Loss 1.1747 (1.2779)	Accuracy 56.250 (53.738)
Epoch: [13][60/96]	Loss 1.2578 (1.2713)	Accuracy 50.000 (53.932)
Epoch: [13][70/96]	Loss 1.1700 (1.2611)	Accuracy 55.469 (54.324)
Epoch: [13][80/96]	Loss 1.4852 (1.2569)	Accuracy 39.062 (54.504)
Epoch: [13][90/96]	Loss 1.1735 (1.2543)	Accuracy 55.469 (54.619)
Test: [ 0/24]	Loss 1.1428 (1.1428)	Accuracy 60.938 (60.938)
Test: [10/24]	Loss 0.9415 (1.1445)	Accuracy 73.438 (63.920)
Test: [20/24]	Loss 1.6122 (1.2235)	Accuracy 40.625 (58.333)
 * Accuracy 54.987
Epoch: [14][ 0/96]	Loss 1.1420 (1.1420)	Accuracy 61.719 (61.719)
Epoch: [14][10/96]	Loss 1.2571 (1.2407)	Accuracy 57.812 (55.966)
Epoch: [14][20/96]	Loss 1.2730 (1.2612)	Accuracy 50.781 (53.869)
Epoch: [14][30/96]	Loss 1.1892 (1.2554)	Accuracy 57.031 (54.738)
Epoch: [14][40/96]	Loss 1.1769 (1.2500)	Accuracy 55.469 (54.973)
Epoch: [14][50/96]	Loss 1.2104 (1.2495)	Accuracy 54.688 (55.162)
Epoch: [14][60/96]	Loss 1.2603 (1.2378)	Accuracy 58.594 (55.648)
Epoch: [14][70/96]	Loss 1.1327 (1.2233)	Accuracy 61.719 (56.096)
Epoch: [14][80/96]	Loss 1.3409 (1.2233)	Accuracy 54.688 (56.260)
Epoch: [14][90/96]	Loss 1.2928 (1.2232)	Accuracy 46.875 (56.267)
Test: [ 0/24]	Loss 1.2164 (1.2164)	Accuracy 53.125 (53.125)
Test: [10/24]	Loss 0.9811 (1.1068)	Accuracy 69.531 (62.074)
Test: [20/24]	Loss 0.5291 (1.1391)	Accuracy 92.188 (59.077)
 * Accuracy 63.462
Epoch: [15][ 0/96]	Loss 1.0319 (1.0319)	Accuracy 64.062 (64.062)
Epoch: [15][10/96]	Loss 0.9914 (1.1147)	Accuracy 62.500 (60.156)
Epoch: [15][20/96]	Loss 1.0876 (1.1299)	Accuracy 63.281 (59.263)
Epoch: [15][30/96]	Loss 1.2512 (1.1416)	Accuracy 53.906 (59.249)
Epoch: [15][40/96]	Loss 1.1600 (1.1433)	Accuracy 53.906 (59.165)
Epoch: [15][50/96]	Loss 1.1641 (1.1405)	Accuracy 56.250 (59.237)
Epoch: [15][60/96]	Loss 1.0250 (1.1316)	Accuracy 63.281 (59.798)
Epoch: [15][70/96]	Loss 1.0315 (1.1342)	Accuracy 65.625 (59.870)
Epoch: [15][80/96]	Loss 1.0919 (1.1278)	Accuracy 60.156 (60.060)
Epoch: [15][90/96]	Loss 0.9799 (1.1224)	Accuracy 66.406 (60.070)
Test: [ 0/24]	Loss 1.2695 (1.2695)	Accuracy 56.250 (56.250)
Test: [10/24]	Loss 0.5395 (0.8736)	Accuracy 83.594 (69.673)
Test: [20/24]	Loss 0.9475 (0.8772)	Accuracy 65.625 (69.420)
 * Accuracy 68.579
Epoch: [16][ 0/96]	Loss 1.1427 (1.1427)	Accuracy 58.594 (58.594)
Epoch: [16][10/96]	Loss 0.9711 (1.1115)	Accuracy 67.969 (60.227)
Epoch: [16][20/96]	Loss 1.0536 (1.0972)	Accuracy 60.156 (60.417)
Epoch: [16][30/96]	Loss 1.0107 (1.0885)	Accuracy 62.500 (60.963)
Epoch: [16][40/96]	Loss 1.0706 (1.0891)	Accuracy 59.375 (61.338)
Epoch: [16][50/96]	Loss 1.0310 (1.0841)	Accuracy 60.938 (61.275)
Epoch: [16][60/96]	Loss 0.9925 (1.0830)	Accuracy 64.062 (61.245)
Epoch: [16][70/96]	Loss 1.0739 (1.0751)	Accuracy 64.062 (61.565)
Epoch: [16][80/96]	Loss 0.9629 (1.0719)	Accuracy 65.625 (61.748)
Epoch: [16][90/96]	Loss 0.9666 (1.0719)	Accuracy 64.062 (61.762)
Test: [ 0/24]	Loss 0.9963 (0.9963)	Accuracy 68.750 (68.750)
Test: [10/24]	Loss 0.5175 (0.7600)	Accuracy 85.938 (73.864)
Test: [20/24]	Loss 0.7875 (0.8381)	Accuracy 76.562 (70.499)
 * Accuracy 70.893
Epoch: [17][ 0/96]	Loss 1.1249 (1.1249)	Accuracy 60.156 (60.156)
Epoch: [17][10/96]	Loss 0.9025 (1.0082)	Accuracy 69.531 (65.554)
Epoch: [17][20/96]	Loss 1.1505 (1.0413)	Accuracy 56.250 (63.281)
Epoch: [17][30/96]	Loss 1.1421 (1.0404)	Accuracy 55.469 (62.954)
Epoch: [17][40/96]	Loss 1.0975 (1.0501)	Accuracy 62.500 (62.195)
Epoch: [17][50/96]	Loss 0.9520 (1.0470)	Accuracy 66.406 (62.286)
Epoch: [17][60/96]	Loss 0.9577 (1.0446)	Accuracy 70.312 (62.641)
Epoch: [17][70/96]	Loss 1.0666 (1.0484)	Accuracy 64.844 (62.588)
Epoch: [17][80/96]	Loss 1.0186 (1.0496)	Accuracy 66.406 (62.616)
Epoch: [17][90/96]	Loss 1.1116 (1.0472)	Accuracy 67.188 (62.809)
Test: [ 0/24]	Loss 1.0582 (1.0582)	Accuracy 60.938 (60.938)
Test: [10/24]	Loss 0.4765 (0.7757)	Accuracy 89.844 (73.366)
Test: [20/24]	Loss 0.7019 (0.8360)	Accuracy 82.812 (70.573)
 * Accuracy 71.773
Epoch: [18][ 0/96]	Loss 0.8651 (0.8651)	Accuracy 72.656 (72.656)
Epoch: [18][10/96]	Loss 0.9807 (1.0206)	Accuracy 65.625 (64.276)
Epoch: [18][20/96]	Loss 0.9768 (1.0355)	Accuracy 66.406 (63.728)
Epoch: [18][30/96]	Loss 0.9950 (1.0338)	Accuracy 69.531 (63.886)
Epoch: [18][40/96]	Loss 1.0094 (1.0454)	Accuracy 62.500 (63.434)
Epoch: [18][50/96]	Loss 1.0746 (1.0470)	Accuracy 62.500 (63.419)
Epoch: [18][60/96]	Loss 1.0656 (1.0443)	Accuracy 58.594 (63.243)
Epoch: [18][70/96]	Loss 0.8830 (1.0355)	Accuracy 71.875 (63.633)
Epoch: [18][80/96]	Loss 1.0656 (1.0397)	Accuracy 60.938 (63.551)
Epoch: [18][90/96]	Loss 0.9880 (1.0408)	Accuracy 60.938 (63.487)
Test: [ 0/24]	Loss 0.8571 (0.8571)	Accuracy 71.875 (71.875)
Test: [10/24]	Loss 0.4638 (0.7035)	Accuracy 87.500 (76.065)
Test: [20/24]	Loss 0.9135 (0.7978)	Accuracy 66.406 (72.321)
 * Accuracy 71.643
Epoch: [19][ 0/96]	Loss 0.9823 (0.9823)	Accuracy 66.406 (66.406)
Epoch: [19][10/96]	Loss 1.0360 (1.0519)	Accuracy 61.719 (62.855)
Epoch: [19][20/96]	Loss 0.9122 (1.0388)	Accuracy 69.531 (63.021)
Epoch: [19][30/96]	Loss 1.0382 (1.0464)	Accuracy 62.500 (62.928)
Epoch: [19][40/96]	Loss 1.0789 (1.0523)	Accuracy 60.156 (62.557)
Epoch: [19][50/96]	Loss 0.9481 (1.0435)	Accuracy 66.406 (62.929)
Epoch: [19][60/96]	Loss 0.9460 (1.0367)	Accuracy 67.188 (63.422)
Epoch: [19][70/96]	Loss 1.1209 (1.0395)	Accuracy 58.594 (63.160)
Epoch: [19][80/96]	Loss 1.0450 (1.0387)	Accuracy 64.062 (63.223)
Epoch: [19][90/96]	Loss 0.9791 (1.0361)	Accuracy 67.188 (63.135)
Test: [ 0/24]	Loss 0.9819 (0.9819)	Accuracy 64.844 (64.844)
Test: [10/24]	Loss 0.2939 (0.7136)	Accuracy 93.750 (75.781)
Test: [20/24]	Loss 0.9836 (0.7943)	Accuracy 65.625 (72.359)
 * Accuracy 70.958
Epoch: [20][ 0/96]	Loss 0.8533 (0.8533)	Accuracy 71.875 (71.875)
Epoch: [20][10/96]	Loss 0.8956 (1.0011)	Accuracy 73.438 (65.199)
Epoch: [20][20/96]	Loss 0.9205 (0.9990)	Accuracy 64.844 (65.104)
Epoch: [20][30/96]	Loss 0.9856 (1.0055)	Accuracy 64.844 (64.844)
Epoch: [20][40/96]	Loss 1.1038 (0.9998)	Accuracy 59.375 (65.396)
Epoch: [20][50/96]	Loss 0.8596 (1.0060)	Accuracy 70.312 (64.966)
Epoch: [20][60/96]	Loss 1.0086 (1.0146)	Accuracy 67.969 (64.754)
Epoch: [20][70/96]	Loss 1.0098 (1.0113)	Accuracy 64.062 (64.844)
Epoch: [20][80/96]	Loss 1.0682 (1.0143)	Accuracy 62.500 (64.767)
Epoch: [20][90/96]	Loss 1.0400 (1.0125)	Accuracy 67.188 (64.749)
Test: [ 0/24]	Loss 0.5167 (0.5167)	Accuracy 82.812 (82.812)
Test: [10/24]	Loss 0.5160 (0.6562)	Accuracy 86.719 (78.196)
Test: [20/24]	Loss 1.0171 (0.8121)	Accuracy 60.938 (71.875)
 * Accuracy 69.817
Epoch: [21][ 0/96]	Loss 0.9914 (0.9914)	Accuracy 67.188 (67.188)
Epoch: [21][10/96]	Loss 1.0325 (1.0116)	Accuracy 67.969 (65.341)
Epoch: [21][20/96]	Loss 0.9660 (0.9938)	Accuracy 66.406 (66.183)
Epoch: [21][30/96]	Loss 0.9929 (0.9772)	Accuracy 66.406 (66.532)
Epoch: [21][40/96]	Loss 1.1787 (0.9871)	Accuracy 62.500 (65.739)
Epoch: [21][50/96]	Loss 1.0642 (0.9912)	Accuracy 64.062 (65.441)
Epoch: [21][60/96]	Loss 1.0738 (0.9985)	Accuracy 59.375 (65.010)
Epoch: [21][70/96]	Loss 1.0664 (1.0034)	Accuracy 63.281 (64.734)
Epoch: [21][80/96]	Loss 1.0295 (1.0042)	Accuracy 66.406 (64.728)
Epoch: [21][90/96]	Loss 0.9642 (1.0032)	Accuracy 64.844 (64.732)
Test: [ 0/24]	Loss 0.7056 (0.7056)	Accuracy 76.562 (76.562)
Test: [10/24]	Loss 0.4583 (0.6623)	Accuracy 88.281 (77.983)
Test: [20/24]	Loss 0.7833 (0.8222)	Accuracy 77.344 (71.763)
 * Accuracy 71.578
Epoch: [22][ 0/96]	Loss 1.0615 (1.0615)	Accuracy 65.625 (65.625)
Epoch: [22][10/96]	Loss 0.8993 (0.9925)	Accuracy 66.406 (64.489)
Epoch: [22][20/96]	Loss 0.9257 (1.0070)	Accuracy 64.844 (64.062)
Epoch: [22][30/96]	Loss 1.1416 (1.0035)	Accuracy 60.156 (64.415)
Epoch: [22][40/96]	Loss 0.9579 (0.9937)	Accuracy 64.844 (64.634)
Epoch: [22][50/96]	Loss 1.0272 (0.9911)	Accuracy 63.281 (65.058)
Epoch: [22][60/96]	Loss 0.9593 (0.9906)	Accuracy 64.844 (65.087)
Epoch: [22][70/96]	Loss 0.9832 (0.9945)	Accuracy 62.500 (65.108)
Epoch: [22][80/96]	Loss 1.1232 (0.9984)	Accuracy 62.500 (65.075)
Epoch: [22][90/96]	Loss 0.9479 (0.9999)	Accuracy 68.750 (65.213)
Test: [ 0/24]	Loss 0.6476 (0.6476)	Accuracy 78.125 (78.125)
Test: [10/24]	Loss 0.3998 (0.6443)	Accuracy 89.062 (78.551)
Test: [20/24]	Loss 0.8701 (0.7810)	Accuracy 71.094 (73.214)
 * Accuracy 72.295
Epoch: [23][ 0/96]	Loss 0.9654 (0.9654)	Accuracy 66.406 (66.406)
Epoch: [23][10/96]	Loss 0.9566 (0.9468)	Accuracy 64.062 (66.761)
Epoch: [23][20/96]	Loss 1.0043 (0.9804)	Accuracy 60.156 (65.067)
Epoch: [23][30/96]	Loss 0.9735 (0.9843)	Accuracy 65.625 (65.121)
Epoch: [23][40/96]	Loss 1.1357 (0.9852)	Accuracy 60.938 (65.396)
Epoch: [23][50/96]	Loss 1.0005 (0.9858)	Accuracy 63.281 (65.472)
Epoch: [23][60/96]	Loss 0.8795 (0.9841)	Accuracy 68.750 (65.382)
Epoch: [23][70/96]	Loss 1.0187 (0.9916)	Accuracy 63.281 (65.218)
