name,format
appreciative,"appreciated,appreciation,appreciativeness,appreciating,appreciatively,appreciate,appreciations,appreciatives,appreciative,appreciates"
apprehension,"apprehended,apprehensions,apprehend,apprehends,apprehension,apprehending"
apprehensive,"apprehensively,apprehended,apprehensive,apprehensives,apprehend,apprehends,apprehensiveness,apprehending"
approval,"approved,approving,approvals,approves,approve,approval,approvingly"
approved,"approved,approving,approvals,approves,approve,approval"
ardent,"ardentness,ardently,ardent"
aroused,"aroused,arouseds,arousing,arousal,arouse,arouses,arousingly"
arrogant,"arrogantness,arrogant,arrogantly,arrogance"
artistic,"artist,artistry,artistic,arts,artists,artistically,art"
ashamed,"ashamedly,ashameds,ashamed,ashaming,ashame,ashames,ashamedness"
asinine,"asininely,asinine,asinines"
aspirant,"aspirantly,aspirant,aspirantness,aspirants,aspired,aspiring"
aspiring,"aspiring,aspire,aspiration,aspired,aspiringly,aspiringness,aspires,aspirings"
assaulted,"assaulting,assaults,assaulteds,assaultation,assaultedly,assaulted,assaultedness,assault"
assertive,"assert,assertively,asserting,assertive,asserted,asserts,assertiveness,assertives"
associated,"associating,associates,associate,associations,associationally,associated,association,associateds,associational"
assured,"assuredness,assureds,assures,assured,assuredly,assuring,assurance,assure"
astonished,"astonish,astonished,astonishment,astonishes,astonishments,astonishing"
astonishment,"astonish,astonished,astonishment,astonishes,astonishments,astonishing"
astounded,"astounding,astound,astounded,astoundingly,astounds"
astute,"astute,astuteness,astutely"
at a loss for words,at a loss for words
at a loss,at a loss
at ease,at ease
at fault,at fault
at risk,"at risk,at risks"
atrocious,"atrocious,atrociousness,atrociously"
attached,"attached,attachment,attach,attaches,attaching,attachments"
attachment,"attached,attachment,attach,attaches,attaching,attachments"
attend to,"attend tos,attend to,attended to,attending to,attends to"
attending,"attendant,attendance,attenders,attendants,attended,attendances,attends,attender,attend,attending"
attention,"attentions,attentional,attended,attention,attentionally,attentionlessness,attending,attentionless"
attentive,"attentively,attentive,attentives,attentiveness,attended,attends,attend,attending"
atypical,"atypical,atypically,atypicals"
audacious,"audacious,audaciously,audaciousness,audacity"
autonomous,"autonomous,autonomies,autonomously,autonomy"
available,"unavailably,availableness,avail,avails,unavailable,unavailability,availably,availed,unavailabilities,unavail,availability,available,availing,availabilities"
averse,"averseness,aversion,aversely,aversions,averse,averses"
aversion,"averting,aversion,aversions,avert,averted,avertedness,averts"
averted,"averting,avertedly,avert,averteds,averted,avertedness,averts"
avid,"avid,avidly,avids,avidness"
avoidance,"avoidance,avoiding,avoided,avoid,avoidances,avoids"
avoiding,"avoidance,avoiding,avoided,avoid,avoider,avoiders,avoids"
awakened,"awakenings,awaken,awakened,awakeneds,awakenedness,awakenedly,awakens,awakening"
aware,"awares,awarenesses,aware,awarely,awareness"
awe,"awed,awefulness,awing,awe,awes,awefully"
awed,"awed,awedly,aweds,awing,awes,awe,awedness"
awestruck,"awestruck,awestrucked,awestricken,awestruckness,awes,awe,awestrucking,awestrucks"
awful,"awfulness,awful,awfully"
awkward,"awkwardness,awkward,awkwardly"
bad,"baddest,badder,badness,badly,bads,bad"
baffled,"baffledness,baffling,baffleds,baffles,baffled,baffledly,baffle"
balanced,"balanced,balancings,balance,balanceds,balances,balancing,balancer,balancers"
bare,"bared,bares,baring,bare,bareness"
barred,"bars,barreds,barred,barring,bar,barredly,barredness"
barren,"barren,barrens"
bashful,"bashing,bash,bashfulness,bashful,bashes,bashfuls,bashfully,bashed"
begrudging,"begrudging,begrudges,begrudge,begrudged,begrudgingly"
believing,"believer,believably,believes,believable,believe,believed,believing,believers"
belittled,"belittlededdededdededdededdededdededdededded,belittlement,belittleding,belittlededings,belittlededdededdededded,belittle,belittlededdededdededdededs,belittlededdededdededdededdings,belittlededdededdededdededdededded,belittlededdededdededdededdededs,belittlededdededdededdededdededdings,belittlededdededdededdededdededdededs,belittlededdededdededdededdededdededdeded,belittlededdededdededings,belittleds,belittlededdededded,belittlededdededdededs,belittlededdededdededing,belittlededdededdeded,belittlededdeded,belittlededdings,belittleded,belittlededdededdededdededdededdededing,belittlededded,belittling,belittlededdededing,belittlededdededdededdededdededdededdededs,belittlededdededdededdededdededdededdededdings,belittlededdededdededdings,belittlededdededdings,belittlededdededings,belittles,belittlededdededdededdededdededdededings,belittlededdededdededdededdededdededded,belittlededdededdededdededded,belittlededdededdededdededings,belittlededdededdededdededdededdeded,belittled,belittlededdededdededdededing,belittlededdededdededdededdededdededdededing,belittlededs,belittlededding,belittlededdededs,belittlededdededdededdededdededdededdededdeded,belittlededdededdededdeded,belittlededdededdededdededdededings,belittlededdededdededdededdeded,belittlededdededdededdededdededdededdededings,belittlededdededdededdededdededing,belittlededdededdededdededdededdededdings"
belligerent,"belligerence,belligerently,belligerent"
belonging,"belongings,belongs,belong,belonging,belonged"
beneficial,"benefit,benefited,beneficiaries,beneficialness,benefits,beneficially,beneficial,beneficials,beneficiary,benefiting"
bereavement,"bereavement,bereavements,bereaved,bereaving,bereaves,bereave"
betrayed,"betray,betrayed,betrayedness,betrays,betrayal,betrayedly,betrayeds,betraying"
bewildered,"bewilderment,bewildering,bewilder,bewilders,bewildered"
biased,"biasedness,biasing,bias,biases,biasness,biased,biasedly"
biting,"bitings,bitten,biting,bite,bit,biter,biters,bites"
bitter,"bitterer,bitterest,bitterly,bittering,bitterness,bitter,bitters,bittered"
blameworthy,"blameworthy,blameworthily,blames,blameworthier,blaming,blame,blameworthinesses,blameworthiness,blameworthiest,blamed"
bliss,"blissfulness,bliss,blisses,blissed,blissful,blissing,blissfully,blissfuls"
blissful,"blissfulness,bliss,blisses,blissed,blissful,blissing,blissfully,blissfuls"
bold,"bolder,boldest,boldness,bold,bolds,bolding,boldly,bolded"
bonded,"bonding,bondedly,bonds,bonded,bondeds,bond,bondedness,bondage"
bored,"bored,bores,boring,bore,boredoms,boredom"
bothered,"botheredness,bother,bothers,botheration,bothered,botheredly,bothereds,bothering"
brash,"brashly,brashness,brashest,brash,brasher"
brave,"bravest,brave,braver,braving,braved,bravery,braves,bravely"
breached,"breacher,breaches,breaching,breached,breach,breachers"
breakable,"breaks,breakables,breaking,break,breakable,broke"
bright,"brightly,brightening,bright,brightest,brighter,brights,brightness,brighten,brightens,brightened"
brilliant,"brilliantnesses,brilliant,brilliantly,brilliantness,brilliance,brilliances"
briny,"brining,brine,briny,briniest,brinier,brined,brines,brininess"
brittle,"brittles,brittling,brittleness,brittler,brittle,brittled"
broken,"breaks,broken,breaking,break,brokenness,brokenly,broke"
brooding,"brood,broodings,broods,brooded,brooder,broodingly,brooding,brooders"
brutal,"brutalizes,brutalizations,brutalized,brutally,brutalize,brutality,brutalizing,brute,brutalities,brutalization,brutes,brutal"
buoyant,"buoy,buoyantly,buoying,buoyancy,buoyant,buoys,buoyed,buoyants"
burdened,"burdened,burdenedness,burdens,burdening,burden"
burdensome,"burdensomes,burdened,burdensome,burdens,burdening,burden,burdensomely"
burnt out,"burnt outs,burnt out"
busy,"busy,busily,busyness,busies,busying,busied"
bypassing,"bypassings,bypassing,bypassed,bypass,bypasses"
calm,"calmly,calm,calmed,calmer,calmest,calmness,calming,calms"
calmed,"calm,calmed,calmer,calms,calmest,calmness,calming,calmeds,calmers"
candid,"candidly,candids,candidness,candid"
captivated,"captivateds,captivatingly,captivating,captivated,captivates,captivate,captivation"
captivating,"captivatingly,captivating,captivator,captivate,captivates,captivated,captivators,captivation"
care,"cares,caring,care,careful,carefully,cared,carefulness"
careful,"cares,caring,carefuls,care,careful,carefully,cared,carefulness"
caring,"cares,caring,care,careful,carefully,caringly,cared,carefulness"
cast aside,"cast aside,casts aside,casted aside,casting aside,cast asides"
cast,"casting,casters,caster,casts,cast,casted"
casual,"casual,casuals,casualness,casually"
caustic,"caustic,caustically,caustics"
cautious,"caution,cautioned,cautioning,cautions,cautious,cautiously,cautiousness"
censorious,"censoriousness,censoring,censorious,censored,censor,censors,censoriously"
centered,"centre,center,centering,centres,centring,centers,centered,centeredness,centred"
certain,"certainly,certain,certainty,certains"
challenged,"challenge,challenged,challengers,challenging,challenger,challenges,challengingly"
chaotic,"chaotic,chaos,chaotically"
charmed,"charms,charmed,charmers,charming,charm,charmer"
charming,"charms,charmed,charmingly,charmings,charmers,charming,charm,charmer"
cheated,"cheaters,cheats,cheat,cheatery,cheated,cheating,cheater"
cheeky,"cheek,cheekiest,cheeky,cheekiness,cheeks,cheekily,cheekier"
cheerful,"cheers,cheerful,cheering,cheer,cheered,cheerfully,cheerfuls,cheerfulness"
cherished,"cherishment,cherished,cherisheds,cherishing,cherishedness,cherishedly,cherish,cherishes"
circumventing,"circumvented,circumventer,circumvention,circumventers,circumvents,circumvent,circumventing"
circumvention,"circumvented,circumvention,circumvents,circumvent,circumventions,circumventing"
clear,"clearness,cleared,clearly,clears,clear,clearing"
clever,"cleverest,cleverer,cleverly,clever,cleverness,clevers"
close,"closed,closeness,closure,closing,closes,closely,close"
closed off,"closed off,closes off,closing off,closed offs,close off"
coerced,"coercions,coerces,coerced,coercion,coercing,coerce"
cognizant,"cognizances,cognizance,cognizant,cognizantly"
cold,"colder,coldly,cold,coldest,coldness,colds"
collected,"collects,collectors,collectible,collectibles,collected,collect,collection,collectable,collector,collecting,collecteds,collectables"
colorful,"coloring,color,colorful,colors,colorfulness,colored,colorfuls,colorfully"
combative,"combats,combat,combatively,combativeness,combative,combating,combated"
comfort,"comfort,comfortables,comfortableness,comforter,comforting,comforts,comfortable,comforted,comfortably"
comfortable,"comfort,comfortables,comfortableness,comforting,comforts,comfortable,comforted,comfortably"
comforted,"comforteds,comfort,comforter,comforting,comforts,comfortedly,comforted,comfortedness"
commiseration,"commiserates,commiserate,commiseration,commiserating,commiserated,commiserations"
compassion,"compassionateness,compassion,compassions,compassionate,compassionately"
compelled,"compelled,compulsion,compel,compelling,compelledness,compels"
completed,"completed,complete,completion,completeds,completing,completely,completeness,completes"
compliant,"complies,compliantly,compliance,compliants,complied,complying,compliant,comply"
complicit,"complicitly,complicit,complicity"
composed,"composition,composed,composeds,composes,compose,composedly,composedness,composing"
concentrated,"concentrating,concentration,concentrates,concentrate,concentrations,concentrated"
concern,"concerned,concernedly,concernedness,concerns,concern,concerning"
concerned,"concerneds,concernedly,concerned,concernedness,concerns,concern,concerning"
condemnatory,"condemning,condemnatoriness,condemnatorily,condemn,condemns,condemnatories,condemned,condemnation,condemnatory"
condolence,"condolences,condolence"
confident,"confident,confidently,confidents,confidence"
confidential,"confide,confides,confiding,confidentialities,confided,confidentiality,confidentials,confidentially,confidential"
confiding,"confidingly,confide,confides,confiding,confided"
confounded,"confoundment,confoundedness,confounds,confounded,confounding,confoundedly,confound"
confrontational,"confrontationals,confrontational,confront,confronts,confronted,confronting,confrontationally"
confronted,"confrontation,confronteds,confrontedness,confrontedly,confront,confronts,confronted,confronting"
confused,"confuseds,confusedness,confused,confuses,confusing,confusednesses,confuse,confusion,confusedly"
connected,"connection,connects,connectedly,connect,connected,connecteds,connectedness,connecting"
connection,"connection,connects,connect,connected,connecting,connections"
conscious,"consciously,conscious,consciousness"
consent,"consentor,consentors,consent,consents,consenting,consenter,consented,consenters,consentfuls,consentingly,consentful"
consenting,"consentingness,consents,consent,consenting,consented,consentings,consentingly"
considerate,"considerateness,considerates,consider,considerations,considerate,considering,considerately,consideration,considered,considers,considerated,considerating"
consolation,"consolations,consoles,consolation,console,consoled,consoling"
consoled,"consoler,consolers,consoles,consolation,console,consoled,consoling"
constrained,"constrainedly,constraining,constraint,constrains,constrained,constrain,constrainedness"
contemplative,"contemplates,contemplating,contemplatively,contemplated,contemplativeness,contemplative,contemplate,contemplatives"
contemptuous,"contemptuously,contempting,contempts,contempted,contemptuous,contempt,contemptuousness"
content,"contenting,contentfuls,contently,contented,contents,content,contentness,contentful"
contented,"contenting,contented,contentedness,contenteds,contentment,contents,contentedly,content"
contrite,"contrites,contrited,contriting,contrite,contriteness"
cooperating,"cooperating,cooperates,cooperatively,cooperation,cooperative,cooperated,cooperatives,cooperate"
cooperative,"cooperativeness,cooperating,cooperates,cooperatively,cooperations,cooperation,cooperate,cooperated,cooperatives,cooperative"
courageous,"courageous,courageousness,courage,courageously"
covered,"covers,cover,coveredness,coveringly,covered,covereds,covering"
covetous,"coveted,covetousness,coveting,covets,covet,covetous,covetously"
cozy,"coziness,cozily,cozier,cozies,cozy,coziest"
creative,"creatively,create,creative,creates,creativeness,creating,creativity,creatives,created"
critical,"criticizes,critical,criticals,criticized,criticize,critic,critics,criticality,criticizing,critically"
crucial,"crucial,crucially,crucialness"
crushed,"crushed,crushing,crusher,crushings,crushes,crush,crushers"
culpable,"culpables,culpableness,culpable,culpably,culpability,culpablenesses"
cultivating,"cultivating,cultivates,cultivated,cultivate,cultivation,cultivator,cultivators"
cumbersome,"cumbersomeness,cumbersomer,cumbersomely,cumbersomest,cumbersome"
curious,"curious,curiousness,curiosity,curiously"
current,"current,currents,currently"
curt,"curt,curts,curted,curtest,curtly,curter,curtness,curting"
cutting,"cuttings,cutting,cut,cuts"
cynical,"cynically,cynics,cynic,cynical,cynicism"
dangerous,"danger,dangers,dangerous,dangerousness,dangerously,dangering,dangered"
daring,"daring,daringly,dares,dare,dared,daringness,darings"
dazed,"dazedness,dazing,dazed,dazedly,daze,dazes"
deadened,"deads,deadeneds,deadeningly,deadening,deaden,deadened,deadens,dead"
debilitated,"debilitately,debilitates,debilitated,debilitating,debilitate,debilitation,debilitateds"
deceived,"deceiver,deceivably,deception,deceivable,deceivers,deceive,deceivablenesses,deceived,deceivability,deceivedly,deceiving,deceives,deceivableness"
declined,"declining,declination,decline,declineds,declinedly,declines,declined,declinable,declinedness"
dedicated,"dedicating,dedication,dedicates,dedicated,dedicatedness,dedicate,dedicatedly"
defeat,"def,defeatable,defeater,defeaters,defeatedly,defeats,defeatably,defeating,defeat,defeatist,defeatists,defeatism,defeated"
defeated,"defeatedness,defeateds,defeatable,defeater,defeatist,defeatedly,defeating,defeat,defeats,defeatism,defeated"
defending,"defenders,defending,defends,defensively,defended,defend,defense,defenses,defender,defensiveness,defensive"
defenseless,"defenselessly,defensed,defense,defensing,defenses,defenseless,defenselessness"
defensive,"defensives,defending,defends,defensively,defended,defend,defensiveness,defensive"
deferential,"deferentially,deferred,deferring,defer,defers,deferential,deferentials"
deficient,"deficiently,deficient,deficiency,deficiencies"
deficit,"deficits,deficit"
degraded,"degradedness,degrades,degrading,degrade,degradedly,degradation,degradeds,degraded"
dejected,"dejected,dejects,dejectedly,dejecting,deject,dejection,dejectedness"
delicate,"delicate,delicateness,delicacy,delicately,delicates"
delight,"delights,delightfully,delightfulness,delighting,delightful,delighted,delight"
delighted,"delights,delightfully,delightfulness,delightedness,delighting,delightful,delighted,delight"
delightful,"delights,delightfully,delightfulness,delighting,delightful,delightfuls,delighted,delight"
demanding,"demand,demanded,demanding,demands,demandings,demandingness"
demeaned,"demeanedness,demeaneds,demeaning,demeans,demanding,demanded,demean,demeaned,demands,demeanedly,demeanings"
demoralized,"demoralizes,demoralize,demoralizedness,demoralizeds,demoralized,demoralizing,demoralizedly,demoralization"
demotivated,"demotivates,demotivate,demotivated,demotivateds,demotivating,demotivations,demotivation"
denied,"denying,denieds,denied,denier,denial,denies,deny,deniers"
dense,"denser,densely,dense,densest,denseness"
dependent,"depend,depending,dependence,depends,dependent,dependents,depended,dependently"
depleted,"depletes,depletion,depleteds,depleted,depleting,deplete"
depressed,"depresseds,depress,depressingness,depression,depresses,depressed,depressing,depressingly"
deprivation,"deprivation,deprive,depriving,deprives,deprivations,deprived"
derided,"deride,deridable,deridednesses,derideds,deridably,derision,deriders,deridablenesses,derides,deridableness,derided,deriding,derider,deridedness,deridability,deridedly"
desensitized,"desensitize,desensitizing,desensitized,desensitizations,desensitizes,desensitization"
deserted,"deserteds,deserted,deserts,desert,desertedness,desertion,desertedly,deserting"
desirous,"desirous,desired,desirousness,desire,desiring,desires,desirously"
desolate,"desolator,desolate,desolated,desolators,desolation,desolates,desolating"
desolation,"desolate,desolations,desolated,desolation,desolates,desolating"
despair,"despairing,despairer,despairers,despairingly,despaired,despairs,despair"
desperation,"desperate,desperately,desperation,desperations"
despicable,"despicably,despicable,despicables,despicableness"
despise,"despisably,despisal,despisable,despisers,despises,despising,despised,despiser,despise"
despondency,"despondent,despondencies,despondently,despondency"
despondent,"despond,despondency,desponded,despondent,despondently,despondents,desponding,desponds"
detached,"detachments,detachment,detaching,detaches,detached,detach"
detachment,"detachments,detachment,detaching,detaches,detached,detach"
detected,"detects,detected,detection,detecteds,detectabilities,detectables,detect,detecting,detective,detectability,detectives,detectable,detectably"
determined,"determineds,determines,determining,determination,determined,determinedness,determine,determinely"
deterred,"deterring,deterred,deterredly,deterreds,deterredness,deter,deters,deterrence"
detest,"detest,detests,detestation,detested,detestable,detesters,detesting,detestably,detester"
detestable,"detest,detests,detestation,detested,detestable,detesting,detestably,detestables"
detestation,"detest,detestation,detests,detestations,detested,detesting"
devalued,"devalue,devaluation,devaluing,devaluations,devalues,devalueds,devaluer,devaluers,devalued"
devastated,"devastations,devastates,devastating,devastated,devastation,devastators,devastate,devastator"
devoid,"devoids,devoid,devoiding,devoidness,devoided"
devoted,"devotes,devoting,devotedness,devoted,devote,devotedly,devotion"
devotion,"devotes,devoting,devotions,devoted,devotional,devote,devotion"
dignified,"dignifying,dignifiedness,dignification,dignifieds,dignifiedly,dignify,dignified,dignifies"
diminished,"diminishly,diminishness,diminishment,diminishing,diminishes,diminished,diminish,diminisheds"
directed,"directedness,directed,directing,direct,directedly,direction,directs,directeds"
disappeared,"disappeared,disappear,disappears,disappearance,disappearances,disappearing"
disappointed,"disappointments,disappointment,disappoint,disappoints,disappointed,disappointing"
disapproving,"disapprovingly,disapproval,disapproving,disapproved,disapprove,disapproves"
disbelieving,"disbelievingly,disbelieves,disbelieved,disbelieve,disbelieving,disbelief"
discerning,"discerned,discern,discerns,discernment,discerning,discerningly"
disconcerted,"disconcerts,disconcertion,disconcerting,disconcert,disconcertedness,disconcerted"
disconnected,"disconnect,disconnected,disconnects,disconnecting,disconnections,disconnection"
discontent,"discontented,discontent,discontents,discontenting,discontentedness"
discontented,"discontentment,discontented,discontent,discontents,discontenting,discontenteds"
discouraged,"discouraging,discouraged,discourage,discouragements,discourages,discouragement"
disdainful,"disdain,disdaining,disdainful,disdainfulness,disdained,disdainfully,disdainfuls,disdains"
disenchanted,"disenchanting,disenchantedness,disenchantment,disenchanted,disenchants,disenchant,disenchantedly"
disenfranchised,"disenfranchised,disenfranchises,disenfranchising,disenfranchise,disenfranchisement"
disengaged,"disengaged,disengagement,disengaging,disengages,disengage,disengagedly"
disgraced,"disgracefully,disgraces,disgraced,disgracefuls,disgracing,disgracefulness,disgrace,disgraceful"
disgruntled,"disgruntledly,disgruntles,disgruntling,disgruntle,disgruntled,disgruntleds"
disgust,"disgustedly,disgusting,disgusts,disgust,disgustednesses,disgustedness,disgusted"
disgusted,"disgustedly,disgustingly,disgusting,disgusts,disgust,disgustednesses,disgustedness,disgusted"
disgusting,"disgustingly,disgusting,disgusts,disgustfulness,disgustful,disgust,disgusted,disgustfuls"
disheartened,"disheartenedness,disheartens,dishearten,disheartened,disheartening,dishearteneds,disheartenedly"
disillusioned,"disillusionment,disillusion,disillusioneds,disillusioning,disillusionedly,disillusions,disillusioned,disillusionedness"
disinterested,"disinterested,disinteresting,disinterestedly,disinterests,disinterest,disinterestedness"
dislike,"disliking,dislike,dislikingly,dislikes,disliked,dislikingness,dislikers"
disloyal,"disloyally,disloyal,disloyals,disloyalty"
dismayed,"dismays,dismaying,dismay,dismayed"
dismissed,"dismisses,dismissive,dismisseds,dismissing,dismissed,dismissedness,dismiss,dismissal,dismissedly"
dismissing,"dismissive,dismissing,dismissiveness,dismissed,dismissives,dismissively,dismiss,dismissal,dismisses"
dismissive,"dismissing,dismissive,dismissiveness,dismissed,dismissives,dismissively,dismiss,dismisses"
disordered,"disorders,disorder,disorderly,disordering,disorderliness,disordered"
disorganized,"disorganizes,disorganization,disorganize,disorganizer,disorganizers,disorganized,disorganizational,disorganizing"
disoriented,"disorientedly,disorienting,disorientedness,disorients,disorientation,disoriented,disorient"
disparaging,"disparages,disparagingly,disparagement,disparaging,disparaged,disparage"
dispirited,"dispirited,dispiritedly,dispirit,dispiritedness,dispiriting,dispirits"
displaced,"displacement,displaced,displacing,displace,displaces,displacements"
displeased,"displeasure,displeasing,displeased,displease,displeases"
disquieted,"disquieteds,disquietude,disquieting,disquiets,disquieted,disquiet"
disregarded,"disregard,disregarded,disregards,disregarding"
disregardful,"disregardful,disregardfully,disregarded,disregarding,disregardfuls,disregard,disregardfulness,disregards"
disregarding,"disregardful,disregarding,disregarded,disregardfuls,disregard,disregards"
disrespected,"disrespectfulness,disrespects,disrespectfully,disrespectful,disrespected,disrespect,disrespecteds,disrespecting"
dissatisfied,"dissatisfied,dissatisfieds,dissatisfy,dissatisfaction,dissatisfying,dissatisfies,dissatisfyingly"
dissenting,"dissenting,dissent,dissentingly,dissenter,dissents,dissented,dissenters"
distanced,"distancings,distanced,distanceds,distancing,distances,distance"
distant,"distantness,distantly,distants,distant,distanting,distanted"
distaste,"distastes,distaste,distastefully,distasteful,distasting,distasted,distastefulness"
distorted,"distorts,distorted,distortedly,distortedness,distorting,distortion,distort"
distracted,"distracts,distract,distracted,distractednesses,distractedly,distraction,distractedness,distracting"
distress,"distresses,distressfulness,distressing,distressfuls,distressfully,distressed,distress,distressful"
distressed,"distresses,distressfulness,distresser,distressing,distressers,distressfuls,distressed,distress,distressfully,distressful"
distrustful,"distrustfulness,distrusted,distrustfully,distrusts,distrust,distrustful,distrusting,distrustfuls"
disturbed,"disturbance,disturbeds,disturbs,disturb,disturbingly,disturbing,disturbed"
diverted,"diverts,divert,diversion,diverteds,divertedly,diverted,divertedness,diverting"
docile,"docile,docility,dociling,dociled,dociles"
dodging,"dodger,dodging,dodged,dodges,dodgers,dodge"
dominant,"dominatrix,dominance,dominant,dominants,domination,dominative,dominations,dominating,dominatives,dominances,dominantly,dominate,dominated,dominators,dominatrixes,dominates,dominator"
don’t care,"don’t careness,don’t cares,don’t care,don’t cared,don’t caring"
